,been,bist,buffer,but,channelregistersdsiirqstatcomerr,channels,check,command,condition,config,contained,correctly,crc,crcen,differ,dsi,error,exp,flag,flags,for,found,frame,from,get,got,has,index,interface,master,maximum,mirrored,mirroring,not,number,otp,output,pass,pdcm,read,regmodeldsi,sce,sci,sequence,set,spi,starting,symbol,transactions,unexpected,was,with
app_exm_in_spec.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40496750586338615,0.0,0.3124821539191326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40496750586338615,0.0,0.47837725956375443,0.0,0.0,0.0,0.0,0.0,0.5113867104656098,0.0,0.2898212755528331,0.0,0.0
applicative_pattern.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5250407969191272,0.0,0.0,0.0,0.0,0.0,0.5250407969191272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5250407969191272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415928461050195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debounce_times.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569620811472383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4512439964438895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33286718141539595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424917889919606,0.0,0.0,0.424917889919606,0.0,0.0,0.0,0.0,0.0
dsi3_clear_command_buffer.log,0.0,0.0,0.0,0.0,0.0,0.36834145857120965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2169336354160205,0.0,0.0,0.0,0.40311045912924187,0.0,0.0,0.0,0.0,0.40311045912924187,0.0,0.0,0.0,0.5406850569493968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40311045912924187,0.19346811141964965,0.0,0.0
dsi3_crc.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36055683472592887,0.0,0.27821386825892847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4553056010093471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36055683472592887,0.0,0.42591612417258345,0.0,0.0,0.0,0.0,0.0,0.4553056010093471,0.0,0.25803809006052036,0.0,0.0
dsi3_crm.log,0.0,0.0,0.0,0.26321291694220733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30206284403194666,0.0,0.0,0.0,0.0,0.0,0.3568187408912329,0.23307857236793572,0.3568187408912329,0.0,0.0,0.0,0.0,0.0,0.2423956911029903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26321291694220733,0.0,0.0,0.0,0.3568187408912329,0.0,0.0,0.0,0.0,0.0,0.0,0.3179688138014936,0.0,0.0,0.0,0.0,0.21617595853230723,0.3568187408912329,0.0
dsi3_crm_ecc_2_bit_error_sim.log,0.0,0.0,0.0,0.22717665497726766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26070767079856016,0.0,0.0,0.0,0.0,0.0,0.30796698327183125,0.20116797850407422,0.30796698327183125,0.0,0.0,0.0,0.0,0.0,0.3542224721037313,0.0,0.3292176192719089,0.0,0.0,0.0,0.0,0.0,0.22717665497726766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30796698327183125,0.0,0.0,0.2744359674505387,0.0,0.0,0.0,0.0,0.31590653320719414,0.30796698327183125,0.0
dsi3_crm_timing.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528856852422099,0.528856852422099,0.0,0.0,0.0,0.0,0.2736644707494106,0.0,0.4189514758367539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546609519066901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25381861009128487,0.0,0.0
dsi3_discovery_mode.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400150718963455,0.0,0.0,0.0,0.0,0.0,0.3169926483869691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3656370013065367,0.3656370013065367,0.0,0.0,0.0,0.400150718963455,0.0,0.0,0.0,0.0,0.0,0.0,0.3656370013065367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2984989237177971,0.0,0.0,0.2984989237177971,0.0,0.0,0.0,0.0,0.0
dsi3_pdcm.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369536940911888,0.0,0.2851431227862229,0.0,0.0,0.0,0.0,0.0,0.0,0.2965414778752082,0.0,0.7900995810089733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26446484231034784,0.0,0.0
dsi3_pdcm_timing.log,0.0,0.0,0.0,0.0,0.0,0.35140426171722866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25790260371581586,0.0,0.19900352483504505,0.0,0.0,0.0,0.38457450277327093,0.0,0.0,0.0,0.0,0.32567542389250015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046534327165223,0.4366670663405025,0.0,0.3046534327165223,0.0,0.0,0.0,0.0,0.0,0.32567542389250015,0.0,0.18457199774080066,0.0,0.0
dsi3_quiscent_current.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42896876697480174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947965020922443,0.4947965020922443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4039422235881499,0.0,0.0,0.4039422235881499,0.0,0.0,0.0,0.0,0.0
dsi3_sync_channels.log,0.0,0.0,0.0,0.25686122627050084,0.4395551989290426,0.0,0.0,0.0,0.0,0.0,0.0,0.2947736510432602,0.0,0.0,0.0,0.3482082125997717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23654634879894693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25686122627050084,0.0,0.0,0.0,0.3482082125997717,0.0,0.0,0.4395551989290426,0.0,0.0,0.0,0.3102957878270124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsi3_sync_pin.log,0.0,0.0,0.4858258839134592,0.28390025325603296,0.0,0.0,0.0,0.0,0.0,0.0,0.4858258839134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25139748646279575,0.0,0.0,0.4858258839134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38486306858474606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsi3_sync_pin_sim.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25002155906707657,0.0,0.0,0.0,0.46459510658389613,0.0,0.0,0.0,0.0,0.46459510658389613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34657226066989455,0.0,0.0,0.34657226066989455,0.0,0.46459510658389613,0.22297694294451254,0.0,0.0
dsi3_wait.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42991939923012934,0.0,0.0,0.0,0.0,0.0,0.34057489464948254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928380794746704,0.3928380794746704,0.0,0.0,0.0,0.42991939923012934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32070535394268707,0.0,0.0,0.32070535394268707,0.0,0.0,0.0,0.0,0.0
ic_startup.log,0.0,0.0,0.0,0.21882398981352563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25112216175927377,0.0,0.0,0.0,0.0,0.0,0.2966438783823137,0.19377158134222888,0.2966438783823137,0.0,0.0,0.0,0.0,0.0,0.20151743636658032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21882398981352563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37446376695110173,0.27933732493536834,0.2643457064365656,0.3171131865340569,0.27933732493536834,0.0,0.0,0.17971946930776656,0.2966438783823137,0.0
ic_status_word.log,0.0,0.0,0.0,0.3373120791697444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3870989583034545,0.0,0.0,0.0,0.0,0.0,0.27007080574328807,0.17641370989561247,0.27007080574328807,0.0,0.0,0.0,0.0,0.0,0.31063443047397693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373120791697444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074827441620908,0.28870649300471285,0.0,0.0,0.0,0.16362037250993033,0.27007080574328807,0.0
interrupts_test_sim.log,0.0,0.0,0.4963539194425922,0.29005248197001765,0.0,0.0,0.0,0.0,0.0,0.0,0.4963539194425922,0.0,0.0,0.0,0.0,0.0,0.3328638983231417,0.0,0.25684536760098253,0.0,0.0,0.4963539194425922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jtag_test.log,0.0,0.0,0.0,0.3915242353156939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307611278986842,0.0,0.0,0.0,0.0,0.36055900563479976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915242353156939,0.0,0.0,0.0,0.5307611278986842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otp_pulse_width.log,0.0,0.5762606791240592,0.0,0.3367472960208854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265571613405806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265571613405806
otp_trimming.log,0.33193702929108737,0.0,0.0,0.0,0.0,0.0,0.33193702929108737,0.33193702929108737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2226029638120212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33193702929108737,0.0,0.0,0.0,0.0,0.33193702929108737,0.33193702929108737,0.1939727993117417,0.0,0.3033068647908079,0.33193702929108737,0.0,0.0,0.2226029638120212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p52143_489.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130540480970307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130540480970307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6881504831521223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p52143_701.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40496750586338615,0.0,0.3124821539191326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40496750586338615,0.0,0.47837725956375443,0.0,0.0,0.0,0.0,0.0,0.5113867104656098,0.0,0.2898212755528331,0.0,0.0
register_access.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6100712026405654,0.0,0.0,0.32830942699259075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4091247612060267,0.0,0.0,0.0,0.0,0.0,0.5166364282910091,0.0,0.0,0.0,0.2927964798068983,0.0,0.0
shut_off.log,0.0,0.0,0.0,0.25686122627050084,0.4395551989290426,0.0,0.0,0.0,0.0,0.0,0.0,0.2947736510432602,0.0,0.0,0.0,0.3482082125997717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23654634879894693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25686122627050084,0.0,0.0,0.0,0.3482082125997717,0.0,0.0,0.4395551989290426,0.0,0.0,0.0,0.3102957878270124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spi_errors_sim.log,0.3716229219039831,0.0,0.0,0.0,0.0,0.0,0.0,0.3716229219039831,0.0,0.0,0.0,0.24921703978909202,0.0,0.0,0.0,0.0,0.24921703978909202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3716229219039831,0.0,0.0,0.0,0.0,0.3716229219039831,0.3716229219039831,0.2171638958270929,0.0,0.0,0.3716229219039831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spi_framing.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528856852422099,0.528856852422099,0.0,0.0,0.0,0.0,0.2736644707494106,0.0,0.4189514758367539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546609519066901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25381861009128487,0.0,0.0
sram_bist.log,0.0,0.6652985664914991,0.0,0.0,0.0,0.0,0.3929360507640431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127730996226494,0.0,0.0,0.0,0.0,0.21145828407029393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127730996226494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18858502410040895,0.0,0.35904461118741376
upload_tdma.log,0.0,0.0,0.0,0.21074934508797927,0.0,0.32953962278298515,0.0,0.0,0.0,0.0,0.0,0.24185570865856354,0.0,0.0,0.0,0.0,0.0,0.2856976657207744,0.18662137501165635,0.2856976657207744,0.0,0.0,0.0,0.0,0.0,0.1940814065873515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21074934508797927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3606459863535694,0.0,0.2545913021501901,0.30541165270666226,0.0,0.0,0.0,0.1730877884479093,0.2856976657207744,0.32953962278298515
